Name: dataset

//Variables: name of variable followed by names of states

aids: 0 1 
baseball: 0 1 
bible: 0 1 
bmw: 0 1 
cancer: 0 1 
car: 0 1 
card: 0 1 
case: 0 1 
children: 0 1 
christian: 0 1 
computer: 0 1 
course: 0 1 
data: 0 1 
dealer: 0 1 
disease: 0 1 
disk: 0 1 
display: 0 1 
doctor: 0 1 
dos: 0 1 
drive: 0 1 
driver: 0 1 
earth: 0 1 
email: 0 1 
engine: 0 1 
evidence: 0 1 
fact: 0 1 
fans: 0 1 
files: 0 1 
food: 0 1 
format: 0 1 
ftp: 0 1 
games: 0 1 
god: 0 1 
government: 0 1 
graphics: 0 1 
gun: 0 1 
health: 0 1 
help: 0 1 
hit: 0 1 
hockey: 0 1 
honda: 0 1 
human: 0 1 
image: 0 1 
insurance: 0 1 
israel: 0 1 
jesus: 0 1 
jews: 0 1 
launch: 0 1 
law: 0 1 
league: 0 1 
lunar: 0 1 
mac: 0 1 
mars: 0 1 
medicine: 0 1 
memory: 0 1 
mission: 0 1 
moon: 0 1 
msg: 0 1 
nasa: 0 1 
nhl: 0 1 
number: 0 1 
oil: 0 1 
orbit: 0 1 
patients: 0 1 
pc: 0 1 
phone: 0 1 
players: 0 1 
power: 0 1 
president: 0 1 
problem: 0 1 
program: 0 1 
puck: 0 1 
question: 0 1 
religion: 0 1 
research: 0 1 
rights: 0 1 
satellite: 0 1 
science: 0 1 
scsi: 0 1 
season: 0 1 
server: 0 1 
shuttle: 0 1 
software: 0 1 
solar: 0 1 
space: 0 1 
state: 0 1 
studies: 0 1 
system: 0 1 
team: 0 1 
technology: 0 1 
university: 0 1 
version: 0 1 
video: 0 1 
vitamin: 0 1 
war: 0 1 
water: 0 1 
win: 0 1 
windows: 0 1 
won: 0 1 
world: 0 1 

//Records: Numbers in the last column are frequencies.

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1   59.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0   37.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0   34.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0   3.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0   15.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1   1.0
