Name: dataset

//Variables: name of variable followed by names of states

pollution: high low 
smoker: False True 
cancer: False True 
xray: negative positive 
dyspnoea: False True 

//Records: Numbers in the last column are frequencies.

1 1 0 1 1   11.0
1 1 0 0 0   65.0
1 0 0 0 0   157.0
1 0 0 1 0   40.0
0 0 0 0 1   9.0
1 0 0 0 1   65.0
0 0 0 0 0   18.0
1 1 1 1 1   5.0
1 1 0 0 1   30.0
1 0 0 1 1   29.0
0 1 0 1 1   1.0
1 1 0 1 0   5.0
0 0 0 1 0   4.0
0 0 0 1 1   3.0
0 1 0 0 1   1.0
0 1 0 0 0   4.0
0 0 1 1 1   1.0
1 1 1 1 0   2.0
