Name: dataset

//Variables: name of variable followed by names of states

back_pain: no yes 
neck_pain: no yes 
joint_pain: no yes 
swelling: no yes 
stiffness: no yes 

//Records: Numbers in the last column are frequencies.

0 0 0 0 0   3268.0
0 1 1 0 1   37.0
0 0 0 1 0   79.0
1 1 1 1 1   163.0
0 0 1 0 1   79.0
1 0 1 0 0   231.0
1 1 1 0 0   209.0
1 1 0 0 0   284.0
1 0 0 0 0   438.0
0 0 1 0 0   394.0
0 0 1 1 0   96.0
1 0 1 0 1   107.0
1 1 1 0 1   148.0
0 1 1 0 0   120.0
0 1 0 0 0   262.0
1 1 1 1 0   40.0
0 1 1 1 0   34.0
0 0 0 0 1   68.0
1 1 0 1 0   15.0
1 1 0 0 1   41.0
0 1 0 0 1   22.0
0 0 1 1 1   64.0
1 0 0 1 0   19.0
1 0 1 1 0   64.0
1 0 0 0 1   30.0
0 1 1 1 1   36.0
1 0 1 1 1   57.0
0 1 0 1 0   13.0
1 0 0 1 1   6.0
1 1 0 1 1   10.0
0 0 0 1 1   8.0
0 1 0 1 1   4.0
